@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
7,4,0,0,6,8,8,negative
3,6,0,0,7,9,9,negative
9,4,0,0,7,9,9,negative
6,3,0,0,8,7,8,negative
7,2,0,0,9,6,7,negative
8,9,0,0,6,7,7,negative
9,2,0,0,8,7,7,negative
3,8,0,0,9,9,9,negative
9,3,0,0,7,9,9,negative
0,8,0,0,0,5,5,negative
9,9,0,0,9,6,7,negative
0,6,0,0,7,8,8,negative
9,8,0,0,6,7,8,negative
9,6,0,0,7,8,7,negative
0,4,0,0,9,7,7,negative
8,8,0,0,6,7,6,negative
3,2,0,0,4,6,7,negative
9,9,0,0,9,7,7,negative
5,8,0,0,6,7,8,negative
3,9,0,0,6,8,8,negative
8,1,0,0,7,9,8,negative
8,9,0,0,7,8,9,negative
7,3,0,0,7,6,7,negative
7,9,0,0,9,6,7,negative
4,6,0,0,1,8,8,negative
8,8,0,0,7,7,7,negative
4,6,0,0,6,7,7,negative
4,8,0,0,8,7,7,negative
3,4,0,0,5,8,9,negative
8,9,0,0,4,9,9,negative
7,6,0,0,6,8,7,negative
3,1,0,0,8,9,9,negative
9,8,0,0,9,7,8,negative
9,2,0,0,7,8,8,negative
7,8,0,0,9,8,8,negative
6,9,0,0,0,8,0,negative
4,5,0,0,1,8,0,negative
0,8,0,0,0,7,5,negative
0,6,0,0,2,7,0,negative
3,8,0,0,3,6,1,negative
9,9,0,0,9,7,7,negative
9,8,0,0,9,9,9,negative
