@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0,1}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
1,1,0,0,1,2,3,positive
6,7,0,0,1,5,3,positive
6,0,0,0,0,5,6,positive
6,5,0,0,5,2,3,positive
6,0,0,0,8,0,0,positive
2,1,0,0,9,0,0,positive
4,1,0,0,4,2,0,positive
4,5,0,0,3,0,1,positive
5,7,0,0,8,0,1,positive
3,4,0,0,2,4,5,positive
7,7,0,0,6,0,0,positive
1,7,0,0,1,5,5,positive
1,0,0,0,1,3,4,positive
0,2,0,0,6,2,3,positive
9,1,0,0,5,4,5,positive
2,1,0,0,4,1,1,positive
4,5,0,0,3,4,5,positive
1,1,0,0,3,2,2,positive
4,5,0,0,3,5,5,positive
4,0,0,0,1,4,5,positive
2,5,0,0,5,1,1,positive
1,0,0,0,9,2,3,positive
0,8,0,0,5,4,5,positive
4,4,0,0,6,3,3,positive
2,2,0,0,3,0,1,positive
4,3,0,0,7,1,1,positive
1,1,0,0,3,2,3,positive
1,4,0,0,1,5,5,positive
0,5,0,0,6,2,2,positive
0,9,0,0,5,9,2,negative
6,8,0,0,3,6,6,negative
9,6,0,0,5,9,9,negative
1,7,0,0,8,9,9,negative
3,7,0,0,8,9,8,negative
6,3,0,0,8,7,8,negative
1,1,0,0,5,8,8,negative
7,2,0,0,9,7,7,negative
2,6,0,0,9,6,7,negative
8,6,0,0,8,8,8,negative
0,9,0,0,9,6,6,negative
4,7,0,0,9,9,9,negative
9,1,0,0,6,9,9,negative
9,5,0,0,5,7,7,negative
7,7,0,0,2,9,9,negative
6,3,0,0,5,9,9,negative
9,5,0,0,5,6,7,negative
6,8,0,0,8,7,7,negative
3,9,0,0,0,8,8,negative
9,9,0,0,5,8,7,negative
7,9,0,0,8,8,9,negative
6,9,0,0,6,7,8,negative
9,7,0,0,8,9,9,negative
6,4,0,0,6,8,8,negative
2,7,0,0,8,9,9,negative
9,5,0,0,7,9,9,negative
3,5,0,0,4,9,9,negative
9,3,0,0,9,7,7,negative
9,8,0,0,8,6,6,negative
8,9,0,0,6,6,7,negative
3,7,0,0,9,9,9,negative
9,8,0,0,9,8,8,negative
9,3,0,0,8,9,9,negative
8,7,1,0,6,8,8,negative
9,9,0,0,9,6,7,negative
0,5,0,0,8,8,8,negative
9,8,0,0,5,7,8,negative
0,5,0,0,9,7,7,negative
9,8,0,0,6,6,6,negative
3,2,0,0,4,6,7,negative
5,7,0,0,6,7,8,negative
8,1,0,0,8,9,8,negative
8,9,0,0,7,8,8,negative
7,3,0,0,8,6,7,negative
8,5,0,0,4,8,9,negative
4,6,0,0,1,7,8,negative
8,8,0,0,8,7,7,negative
4,6,0,0,5,7,7,negative
4,3,0,0,6,7,7,negative
2,5,0,0,5,8,8,negative
9,9,0,0,4,9,9,negative
6,7,0,0,6,8,7,negative
0,7,0,0,8,7,7,negative
2,1,0,0,8,9,9,negative
9,2,0,0,8,7,8,negative
7,8,0,0,9,7,8,negative
6,9,0,0,0,7,0,negative
4,5,0,0,1,8,0,negative
0,7,0,0,2,6,0,negative
9,6,0,0,0,8,1,negative
9,9,0,0,9,7,6,negative
9,8,0,0,9,9,9,negative
